,RNTC,Tprobe,Tcalc,A,B,C,T1,R1,T2,R2,T3,R3
131,7915.963511972634,71.27115,71.27115000000003,0.0009949021275421589,0.00019606513111733508,2.0531853429401513e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,71.27115,7915.963511972634
132,7915.963511972634,71.42676,71.42676,0.0009576487213074775,0.00020130913493967087,1.8992974280412726e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,71.42676,7915.963511972634
133,7789.761092150171,71.55249,71.55249000000003,0.0010388978869418745,0.00018987203486714872,2.2349248498127333e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,71.55249,7789.761092150171
134,7852.790432801822,71.58304,71.58303999999998,0.0009763654867809401,0.00019867445533302525,1.9766134188051198e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,71.58304,7852.790432801822
135,7789.761092150171,71.73975,71.73974999999996,0.0009949687624181297,0.00019605575120876803,2.0534606010483123e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,71.73975,7789.761092150171
136,7789.761092150171,71.89676,71.89675999999997,0.0009581727031600308,0.00020123537623904856,1.9014619140006604e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,71.89676,7789.761092150171
137,7789.761092150171,71.89996,71.89995999999996,0.0009574231157555026,0.0002013408924753293,1.8983654872741838e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,71.89996,7789.761092150171
138,7726.875,72.05475,72.05475000000001,0.0009768417616229101,0.00019860741214572473,1.9785808346673864e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,72.05475,7726.875
139,7664.131668558456,72.07315,72.07315,0.0010275510979064037,0.00019146927418261974,2.1880530632580726e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,72.07315,7664.131668558456
140,7726.875,72.21628,72.21627999999998,0.0009394059186156665,0.0002038770968179303,1.8239393023850772e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,72.21628,7726.875
141,7664.131668558456,72.37231,72.37230999999997,0.0009588958272828286,0.00020113358512657722,1.904449025105868e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,72.37231,7664.131668558456
142,7601.530612244898,72.53189,72.53189000000003,0.0009775570457760648,0.0001985067246324925,1.9815355601009686e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,72.53189,7601.530612244898
143,7601.530612244898,72.5705,72.57049999999998,0.000968795195497548,0.00019974009309447495,1.9453417457280466e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,72.5705,7601.530612244898
144,7539.071347678369,72.69208,72.69207999999998,0.0009960741150048693,0.00019590015541832206,2.0580266373385198e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,72.69208,7539.071347678369
145,7476.753393665158,72.75217,72.75216999999998,0.0010368494250177851,0.0001901603881546887,2.2264629783730585e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,72.75217,7476.753393665158
146,7539.071347678369,72.85031,72.85030999999998,0.0009605453832304341,0.00020090138413964177,1.911263079200329e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,72.85031,7539.071347678369
147,7601.530612244898,72.85284,72.85284000000001,0.0009047826053025327,0.00020875087362674658,1.6809158843630112e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,72.85284,7601.530612244898
148,7476.753393665158,72.86667,72.86667,0.0010113844301305004,0.00019374498736377698,2.1212711217834005e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,72.86667,7476.753393665158
149,7476.753393665158,72.98782,72.98782,0.0009844588073277573,0.0001975351929628802,2.0100456428469177e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,72.98782,7476.753393665158
150,7476.753393665158,73.01434,73.01434,0.00097856724395034,0.00019836452332467534,1.9857085285993268e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,73.01434,7476.753393665158
151,7476.753393665158,73.17618,73.17617999999993,0.0009426331552549625,0.00020342281241866119,1.8372705052871139e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,73.17618,7476.753393665158
152,7414.576271186441,73.23059,73.23058999999995,0.0009851178099384065,0.0001974424279634221,2.0127678781514386e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,73.23059,7414.576271186441
153,7352.539503386004,73.33875,73.33875,0.0010154288315525825,0.0001931756741476149,2.1379779028475945e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,73.33875,7352.539503386004
154,7414.576271186441,73.33875,73.09273975098228,0.0010154288315525825,0.0001931756741476149,2.1379779028475945e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,73.33875,7352.539503386004
155,7352.539503386004,73.33908,73.33907999999997,0.0010153570195998158,0.00019318578281130126,2.137681259055978e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,73.33908,7352.539503386004
156,7290.642615558061,73.50195,73.50194999999997,0.001033642934169366,0.00019061175225706012,2.21321747304404e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,73.50195,7290.642615558061
157,7352.539503386004,73.66577,73.66577000000007,0.0009443323963062877,0.00020318361747063187,1.844289800667829e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,73.66577,7352.539503386004
